negative  	{'BIGRAM_hate_https': 0.5, 'TRIGRAM_hate_https_//t.co/8jq411twqn': 0.5, 'UNI_//t.co/8jq411twqn': 0.5, 'TRIGRAM_nvm_hate_https': 0.5, 'BIGRAM_nvm_hate': 0.5, 'UNI_hate': 0.5, 'UNI_https': 0.5, 'UNI_nvm': 0.5, 'BIGRAM_https_//t.co/8jq411twqn': 0.5}
negative  	{"BIGRAM_hate_y'all": 0.5, 'BIGRAM_https_//t.co/4dysc3hogb': 0.5, "TRIGRAM_hate_y'all_https": 0.5, 'UNI_//t.co/4dysc3hogb': 0.5, "TRIGRAM_y'all_https_//t.co/4dysc3hogb": 0.5, 'UNI_https': 0.5, 'UNI_rt': 0.5, 'BIGRAM_cornyassbitch_hate': 0.5, 'UNI_hate': 0.5, 'UNI_cornyassbitch': 0.5, "TRIGRAM_cornyassbitch_hate_y'all": 0.5, 'BIGRAM_rt_cornyassbitch': 0.5, "UNI_y'all": 0.5, 'TRIGRAM_rt_cornyassbitch_hate': 0.5, "BIGRAM_y'all_https": 0.5}
negative  	{'BIGRAM_rt_kharyp': 0.5, 'UNI_rt': 0.5, 'BIGRAM_women_hate': 0.5, 'TRIGRAM_women_hate_women': 0.5, 'TRIGRAM_rape_women_hate': 0.5, 'UNI_kharyp': 0.5, 'BIGRAM_rape_women': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_kharyp_rape_women': 0.5, 'BIGRAM_hate_women': 0.5, 'UNI_women': 0.5, 'UNI_rape': 0.5, 'BIGRAM_kharyp_rape': 0.5, 'TRIGRAM_rt_kharyp_rape': 0.5}
negative  	{'UNI_time': 0.5, "BIGRAM_'s_time": 0.5, 'TRIGRAM_time_kill_women': 0.5, "UNI_'s": 0.5, 'UNI_think': 0.5, 'BIGRAM_time_kill': 0.5, "TRIGRAM_think_'s_time": 0.5, "BIGRAM_think_'s": 0.5, 'BIGRAM_kill_women': 0.5, 'UNI_women': 0.5, "TRIGRAM_'s_time_kill": 0.5, 'UNI_kill': 0.5}
negative  	{'UNI_time': 0.5, 'UNI_rea…': 0.5, 'BIGRAM_heal_women': 0.5, 'TRIGRAM_time_heal_women': 0.5, 'BIGRAM_women_rea…': 0.5, 'UNI_women': 0.5, 'TRIGRAM_heal_women_rea…': 0.5, 'UNI_heal': 0.5, 'BIGRAM_time_heal': 0.5}
negative  	{'UNI_frustrated': 0.5, "BIGRAM_'m_frustrated": 0.5, 'UNI_hurt': 0.5, "UNI_'m": 0.5, 'TRIGRAM_frustrated_people_thinking': 0.5, 'BIGRAM_rt_commonwhitegiri': 0.5, 'BIGRAM_hate_cry': 0.5, 'BIGRAM_thinking_hurt': 0.5, 'BIGRAM_commonwhitegiri_hate': 0.5, "TRIGRAM_'m_frustrated_people": 0.5, 'UNI_cry': 0.5, 'UNI_feelings': 0.5, "TRIGRAM_hate_cry_'m": 0.5, 'UNI_people': 0.5, 'BIGRAM_trying_not…': 0.5, 'UNI_thinking': 0.5, 'BIGRAM_really_trying': 0.5, 'TRIGRAM_people_thinking_hurt': 0.5, "TRIGRAM_cry_'m_frustrated": 0.5, 'BIGRAM_hurt_feelings': 0.5, 'TRIGRAM_really_trying_not…': 0.5, 'TRIGRAM_commonwhitegiri_hate_cry': 0.5, 'UNI_trying': 0.5, 'UNI_rt': 0.5, 'BIGRAM_people_thinking': 0.5, 'UNI_commonwhitegiri': 0.5, "BIGRAM_feelings_'m": 0.5, "BIGRAM_'m_really": 0.5, 'UNI_really': 0.5, 'UNI_not…': 0.5, "TRIGRAM_feelings_'m_really": 0.5, "BIGRAM_cry_'m": 0.5, 'TRIGRAM_rt_commonwhitegiri_hate': 0.5, 'UNI_hate': 0.5, 'BIGRAM_frustrated_people': 0.5, "TRIGRAM_hurt_feelings_'m": 0.5, "TRIGRAM_'m_really_trying": 0.5, 'TRIGRAM_thinking_hurt_feelings': 0.5}
negative  	{'UNI_rt': 0.5, 'TRIGRAM_hate_yall_https': 0.5, 'UNI_yall': 0.5, 'TRIGRAM_rt_hoiyjose_hate': 0.5, 'BIGRAM_https_//t.co/9rg5u5rjko': 0.5, 'BIGRAM_hate_yall': 0.5, 'TRIGRAM_hoiyjose_hate_yall': 0.5, 'UNI_hate': 0.5, 'UNI_hoiyjose': 0.5, 'TRIGRAM_yall_https_//t.co/9rg5u5rjko': 0.5, 'BIGRAM_hoiyjose_hate': 0.5, 'UNI_https': 0.5, 'BIGRAM_rt_hoiyjose': 0.5, 'UNI_//t.co/9rg5u5rjko': 0.5, 'BIGRAM_yall_https': 0.5}
negative  	{'UNI_freezes': 0.5, 'BIGRAM_honestly_hate': 0.5, 'TRIGRAM_twitter_freezes_tweets': 0.5, 'BIGRAM_blow_ca': 0.5, 'UNI_blow': 0.5, 'UNI_honestly': 0.5, "BIGRAM_n't_even": 0.5, "TRIGRAM_ca_n't_even": 0.5, "BIGRAM_ca_n't": 0.5, 'TRIGRAM_honestly_hate_twitter': 0.5, 'TRIGRAM_tweets_blow_ca': 0.5, 'BIGRAM_scroll_tl': 0.5, 'UNI_ca': 0.5, 'UNI_even': 0.5, 'UNI_tl': 0.5, 'UNI_scroll': 0.5, 'TRIGRAM_freezes_tweets_blow': 0.5, "TRIGRAM_n't_even_scroll": 0.5, 'BIGRAM_tweets_blow': 0.5, "UNI_n't": 0.5, 'TRIGRAM_even_scroll_tl': 0.5, 'BIGRAM_freezes_tweets': 0.5, 'UNI_hate': 0.5, 'BIGRAM_twitter_freezes': 0.5, "TRIGRAM_blow_ca_n't": 0.5, 'UNI_twitter': 0.5, 'BIGRAM_even_scroll': 0.5, 'UNI_tweets': 0.5, 'BIGRAM_hate_twitter': 0.5, 'TRIGRAM_hate_twitter_freezes': 0.5}
negative  	{'BIGRAM_westsideluvv_still': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_westsideluvv_still_hate': 0.5, 'BIGRAM_still_hate': 0.5, 'UNI_westsideluvv': 0.5, 'UNI_still': 0.5}
negative  	{'BIGRAM_go_back': 0.5, 'BIGRAM_twitter_go': 0.5, 'BIGRAM_back_way': 0.5, 'TRIGRAM_go_back_way': 0.5, 'TRIGRAM_twitter_go_back': 0.5, 'UNI_back': 0.5, 'BIGRAM_hate_update': 0.5, 'UNI_twitter': 0.5, 'BIGRAM_way_hate': 0.5, 'UNI_way': 0.5, 'UNI_hate': 0.5, 'UNI_update': 0.5, 'TRIGRAM_back_way_hate': 0.5, 'TRIGRAM_way_hate_update': 0.5, 'UNI_go': 0.5}
negative  	{'BIGRAM_hate_mnet': 0.5, 'UNI_stan': 0.5, 'BIGRAM_wan_na': 0.5, 'UNI_wan': 0.5, 'BIGRAM_stan_them-': 0.5, 'TRIGRAM_stan_them-_hate': 0.5, 'TRIGRAM_na_stan_them-': 0.5, 'UNI_https': 0.5, 'TRIGRAM_mnet_https_//t.co/azkgeb5rzq': 0.5, 'UNI_them-': 0.5, 'BIGRAM_mnet_https': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_wan_na_stan': 0.5, 'TRIGRAM_hate_mnet_https': 0.5, 'TRIGRAM_them-_hate_mnet': 0.5, 'BIGRAM_na_stan': 0.5, 'UNI_na': 0.5, 'UNI_//t.co/azkgeb5rzq': 0.5, 'UNI_mnet': 0.5, 'BIGRAM_them-_hate': 0.5, 'BIGRAM_https_//t.co/azkgeb5rzq': 0.5}
negative  	{'BIGRAM_talking_course': 0.5, "BIGRAM_'re_talking": 0.5, 'BIGRAM_course_hate': 0.5, 'UNI_scouse': 0.5, 'UNI_talking': 0.5, "BIGRAM_shit_'re": 0.5, "UNI_'s": 0.5, "TRIGRAM_cos_'s_scouse": 0.5, 'TRIGRAM_ghamgraham_fergieera_must': 0.5, "UNI_'re": 0.5, 'UNI_mixed': 0.5, "TRIGRAM_mixed_shit_'re": 0.5, 'UNI_fergieera': 0.5, 'UNI_ghamgraham': 0.5, "BIGRAM_'s_scouse": 0.5, "BIGRAM_cos_'s": 0.5, 'TRIGRAM_talking_course_hate': 0.5, 'BIGRAM_mixed_shit': 0.5, "TRIGRAM_'re_talking_course": 0.5, 'BIGRAM_hate_cos': 0.5, 'BIGRAM_fergieera_must': 0.5, 'UNI_must': 0.5, 'UNI_shit': 0.5, "TRIGRAM_hate_cos_'s": 0.5, 'BIGRAM_ghamgraham_fergieera': 0.5, 'TRIGRAM_got_mixed_shit': 0.5, 'UNI_course': 0.5, 'BIGRAM_must_got': 0.5, 'BIGRAM_got_mixed': 0.5, 'UNI_cos': 0.5, "TRIGRAM_shit_'re_talking": 0.5, 'UNI_hate': 0.5, 'TRIGRAM_course_hate_cos': 0.5, 'TRIGRAM_fergieera_must_got': 0.5, 'UNI_got': 0.5, 'TRIGRAM_must_got_mixed': 0.5}
negative  	{'UNI_like': 0.5, 'UNI_ilovecheollie': 0.5, 'BIGRAM_forgets_important': 0.5, 'TRIGRAM_walk_around_like': 0.5, 'UNI_walk': 0.5, 'BIGRAM_around_like': 0.5, 'TRIGRAM_hate_forgets_important': 0.5, 'BIGRAM_handle_goddamn': 0.5, "BIGRAM_n't_walk": 0.5, 'UNI_goddamn': 0.5, 'BIGRAM_rt_ilovecheollie': 0.5, 'BIGRAM_ilovecheollie_hate': 0.5, 'TRIGRAM_rt_ilovecheollie_hate': 0.5, 'TRIGRAM_around_like_handle': 0.5, 'UNI_rt': 0.5, 'BIGRAM_walk_around': 0.5, 'TRIGRAM_like_handle_goddamn': 0.5, 'UNI_around': 0.5, "TRIGRAM_n't_walk_around": 0.5, 'BIGRAM_hate_forgets': 0.5, 'BIGRAM_like_handle': 0.5, 'UNI_important': 0.5, 'UNI_world': 0.5, "TRIGRAM_forgets_important_n't": 0.5, "TRIGRAM_important_n't_walk": 0.5, 'TRIGRAM_ilovecheollie_hate_forgets': 0.5, "UNI_n't": 0.5, 'TRIGRAM_handle_goddamn_world': 0.5, 'UNI_hate': 0.5, 'BIGRAM_goddamn_world': 0.5, 'UNI_handle': 0.5, 'UNI_forgets': 0.5, "BIGRAM_important_n't": 0.5}
negative  	{'UNI_rude': 0.5, 'BIGRAM_ur_literally': 0.5, 'UNI_like': 0.5, 'BIGRAM_get_ass': 0.5, 'BIGRAM_people_like': 0.5, 'BIGRAM_old_people': 0.5, 'BIGRAM_rt_sleepingtrash': 0.5, 'TRIGRAM_like_ur_literally': 0.5, 'TRIGRAM_sleepingtrash_hate_rude': 0.5, 'UNI_sleepingtrash': 0.5, 'BIGRAM_rude_old': 0.5, 'UNI_get': 0.5, 'UNI_people': 0.5, 'BIGRAM_ass_dude': 0.5, 'UNI_ass': 0.5, 'TRIGRAM_old_people_like': 0.5, 'TRIGRAM_ur_literally_dying': 0.5, 'TRIGRAM_dying_get_ass': 0.5, 'TRIGRAM_people_like_ur': 0.5, 'UNI_rt': 0.5, 'UNI_ur': 0.5, 'BIGRAM_dying_get': 0.5, 'BIGRAM_literally_dying': 0.5, 'TRIGRAM_rude_old_people': 0.5, 'UNI_old': 0.5, 'UNI_literally': 0.5, 'BIGRAM_hate_rude': 0.5, 'BIGRAM_like_ur': 0.5, 'BIGRAM_sleepingtrash_hate': 0.5, 'TRIGRAM_hate_rude_old': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_get_ass_dude': 0.5, 'TRIGRAM_literally_dying_get': 0.5, 'UNI_dude': 0.5, 'UNI_dying': 0.5, 'TRIGRAM_rt_sleepingtrash_hate': 0.5}
negative  	{'BIGRAM_ass_https': 0.5, 'TRIGRAM_talked_shit_amp': 0.5, 'TRIGRAM_rt_chillitsjoe_yeah': 0.5, 'TRIGRAM_already_done_talked': 0.5, 'BIGRAM_amp_mom': 0.5, 'BIGRAM_done_talked': 0.5, 'BIGRAM_chillitsjoe_yeah': 0.5, 'BIGRAM_cause_already': 0.5, 'UNI_amp': 0.5, 'BIGRAM_shit_amp': 0.5, 'UNI_done': 0.5, 'BIGRAM_talked_shit': 0.5, 'TRIGRAM_shit_amp_mom': 0.5, 'BIGRAM_already_done': 0.5, 'UNI_yeah': 0.5, 'TRIGRAM_ass_https_//t.co/pfxdvsw3ik': 0.5, 'UNI_cause': 0.5, 'TRIGRAM_hate_ass_https': 0.5, 'BIGRAM_https_//t.co/pfxdvsw3ik': 0.5, 'UNI_mom': 0.5, 'UNI_ass': 0.5, 'BIGRAM_yeah_cause': 0.5, 'UNI_rt': 0.5, 'TRIGRAM_mom_hate_ass': 0.5, 'UNI_chillitsjoe': 0.5, 'TRIGRAM_cause_already_done': 0.5, 'UNI_already': 0.5, 'UNI_shit': 0.5, 'UNI_https': 0.5, 'TRIGRAM_done_talked_shit': 0.5, 'BIGRAM_hate_ass': 0.5, 'UNI_talked': 0.5, 'BIGRAM_rt_chillitsjoe': 0.5, 'TRIGRAM_yeah_cause_already': 0.5, 'TRIGRAM_chillitsjoe_yeah_cause': 0.5, 'BIGRAM_mom_hate': 0.5, 'UNI_//t.co/pfxdvsw3ik': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_amp_mom_hate': 0.5}
negative  	{'UNI_kmt': 0.5, 'TRIGRAM_ayolaflare_kmt_hate': 0.5, 'BIGRAM_hate_passion': 0.5, 'TRIGRAM_kmt_hate_passion': 0.5, 'BIGRAM_kmt_hate': 0.5, 'BIGRAM_ayolaflare_kmt': 0.5, 'UNI_hate': 0.5, 'UNI_passion': 0.5, 'UNI_ayolaflare': 0.5}
negative  	{'UNI_die': 0.5, 'BIGRAM_itsthatoneotaku_admit': 0.5, 'UNI_admit': 0.5, 'BIGRAM_hate_want': 0.5, 'UNI_hate': 0.5, 'BIGRAM_want_die': 0.5, 'BIGRAM_admit_hate': 0.5, 'TRIGRAM_itsthatoneotaku_admit_hate': 0.5, 'UNI_itsthatoneotaku': 0.5, 'UNI_want': 0.5, 'TRIGRAM_hate_want_die': 0.5, 'TRIGRAM_admit_hate_want': 0.5}
negative  	{"BIGRAM_'ve_said": 0.5, "TRIGRAM_'ll_say_hate": 0.5, "UNI_'ve": 0.5, "BIGRAM_'ll_say": 0.5, 'BIGRAM_say_hate': 0.5, 'BIGRAM_hate_kids': 0.5, "TRIGRAM_said_'ll_say": 0.5, 'UNI_say': 0.5, 'UNI_kids': 0.5, 'UNI_said': 0.5, 'UNI_hate': 0.5, "UNI_'ll": 0.5, "TRIGRAM_'ve_said_'ll": 0.5, "BIGRAM_said_'ll": 0.5, 'TRIGRAM_say_hate_kids': 0.5}
negative  	{'UNI_writemaysresignationspeech': 0.5, 'BIGRAM_hate_larry': 0.5, 'BIGRAM_shite_job': 0.5, 'UNI_larry': 0.5, 'TRIGRAM_hate_larry_cat': 0.5, 'UNI_cat': 0.5, "UNI_'m": 0.5, 'UNI_fucking': 0.5, 'TRIGRAM_shite_job_fucking': 0.5, 'UNI_shite': 0.5, 'UNI_job': 0.5, 'TRIGRAM_fucking_hate_larry': 0.5, 'TRIGRAM_job_fucking_hate': 0.5, 'BIGRAM_larry_cat': 0.5, 'TRIGRAM_larry_cat_writemaysresignationspeech': 0.5, 'BIGRAM_cat_writemaysresignationspeech': 0.5, 'UNI_hate': 0.5, 'BIGRAM_fucking_hate': 0.5, "BIGRAM_'m_shite": 0.5, "TRIGRAM_'m_shite_job": 0.5, 'BIGRAM_job_fucking': 0.5}
